experiment,domain,dataset,seed,model,variant,fit_samples,train_samples,test_samples,n_features,fit_seconds,predict_seconds,split_protocol,accuracy,macro_f1,balanced_accuracy,mcc,minority_recall,g_mean,gb_feature_seconds,n_regions,fit_subset
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,extra_trees,ugbfeat,48000,48000,16000,180,3.5803582919979817,0.05352308299916331,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988375,0.8435723039718127,0.779328,0.708536206554629,0.56,0.7478284295211035,1.0444763340055943,13.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,lightgbm,kmeansfeat,48000,48000,16000,180,2.245019500005583,0.029853166997781955,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9913125,0.9112217858224785,0.9395946666666666,0.8243544283365309,0.8853333333333333,0.9380265696308038,1.0444763340055943,13.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,2026,lightgbm,raw,48000,48000,16000,170,1.9822836250023101,0.026814582997758407,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99125,0.9095956325650092,0.933056,0.8205310640137529,0.872,0.9310562088295207,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,lightgbm,ugbfeat,48000,48000,16000,180,2.2235584579975693,0.029206833001808263,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.991125,0.908528670786312,0.932992,0.8185112978499165,0.872,0.9309962663727498,1.0444763340055943,13.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,random_forest,kmeansfeat,48000,48000,16000,180,8.802375291998032,0.042620915999577846,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988375,0.84099832535333,0.7728213333333334,0.7072909394099823,0.5466666666666666,0.7389904464876389,1.0444763340055943,13.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,2026,random_forest,raw,48000,48000,16000,170,6.709864292002749,0.045179833003203385,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9884375,0.843654190323874,0.7780586666666667,0.7098740014022379,0.5573333333333333,0.7460935705392454,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,random_forest,ugbfeat,48000,48000,16000,180,8.483687375002773,0.04312441699585179,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9884375,0.8421130480177427,0.7741546666666667,0.7091674966197533,0.5493333333333333,0.7407906694876765,1.0444763340055943,13.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,xgboost,kmeansfeat,48000,48000,16000,180,1.7663502499999595,0.005863165999471676,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9901875,0.9020993721771482,0.94032,0.8075918434072491,0.888,0.9388633127351393,1.0444763340055943,13.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,2026,xgboost,raw,48000,48000,16000,170,1.3467265420040349,0.005299083000863902,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9905625,0.9042543372567258,0.9353066666666667,0.8108071748082979,0.8773333333333333,0.9335082502759863,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,xgboost,ugbfeat,48000,48000,16000,180,1.576795499997388,0.0058222080042469315,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9908125,0.9072373447305191,0.94064,0.8170898212202548,0.888,0.9391659278317118,1.0444763340055943,13.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,secom,1,catboost,kmeansfeat,940,940,314,600,1.782206749994657,0.0009197500039590523,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.22875316600402584,5.0,940.0
raw_baseline_v1,industrial_tabular,secom,1,catboost,raw,940,940,314,590,1.4488792920019478,0.000720042000466492,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,,,
unsupervised_local_structure_v1,industrial_tabular,secom,1,catboost,ugbfeat,940,940,314,600,1.7205726669999422,0.0034446669960743748,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.22875316600402584,5.0,940.0
unsupervised_local_structure_v1,industrial_tabular,secom,1,extra_trees,kmeansfeat,940,940,314,600,0.13961545799975283,0.02397449999989476,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.22875316600402584,5.0,940.0
raw_baseline_v1,industrial_tabular,secom,1,extra_trees,raw,940,940,314,590,0.12268016600137344,0.015892541996436194,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,,,
unsupervised_local_structure_v1,industrial_tabular,secom,1,extra_trees,ugbfeat,940,940,314,600,0.13091966699721524,0.04367095899942797,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.22875316600402584,5.0,940.0
unsupervised_local_structure_v1,industrial_tabular,secom,1,lightgbm,kmeansfeat,940,940,314,600,0.8347637910046615,0.0011098749964730814,chronological 60/20/20 by official production test timestamp,0.9426751592356688,0.4852459016393443,0.4983164983164983,-0.013523031736457278,0.0,9.983150788368352e-07,0.22875316600402584,5.0,940.0
raw_baseline_v1,industrial_tabular,secom,1,lightgbm,raw,940,940,314,590,0.7984653750027064,0.0011222500033909455,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,,,
