experiment_id,base_config,family,method,condition_a_oracle,condition_b_oracle,positive_global_regret,positive_global_point_fraction,mean_global_regret,max_global_regret,estimated_eps01_oracle_regret,estimated_eps01_condition_a_vs_global,estimated_eps01_cost,estimated_eps01_risk,marginal_value_mean,marginal_value_variance,region_value_variance,region_scores_json
v2thy-D02-s2026,D02,D,kmeans,True,False,True,0.6,0.003199999999999997,0.006400000000000017,0,True,151,0.1442,0.03751482579131319,0.004217638292675579,0.0,"[0.03751482579131319, 0.03751482579131319, 0.03751482579131319]"
v2thy-D02-s21,D02,D,kmeans,True,True,True,0.6,0.004839999999999997,0.0116,0,True,4,0.15,0.021452793506029504,0.002754064498649198,0.0,"[0.021452793506029504, 0.021452793506029504, 0.021452793506029504]"
v2thy-D02-s42,D02,D,kmeans,True,True,True,0.6,0.004479999999999998,0.011199999999999988,0,True,4,0.15,0.03002746750606597,0.003598352322883495,0.0,"[0.03002746750606597, 0.03002746750606597, 0.03002746750606597]"
v2thy-D02-s7,D02,D,kmeans,True,False,True,0.6,0.004039999999999997,0.009599999999999997,0,True,4,0.15,0.0300345555046572,0.00359792790104276,0.0,"[0.0300345555046572, 0.0300345555046572, 0.0300345555046572]"
v2thy-D03-s1,D03,D,kmeans,True,True,True,0.8,0.018500000000000006,0.04199999999999998,0,False,120,0.32,0.012132985915492958,0.0005728225134092441,2.0177009649871045e-06,"[0.012132985915492958, 0.015146232394366197, 0.012132985915492958]"
v2thy-D03-s2026,D03,D,kmeans,True,True,True,0.8,0.007400000000000006,0.016000000000000014,0,True,4,0.34,0.007576028138528138,0.0003926164962052888,4.4575641817908015e-11,"[0.010099206349206349, 0.010082852332852332, 0.010091029341029342]"
v2thy-D03-s21,D03,D,kmeans,True,True,True,0.8,0.015200000000000009,0.02999999999999997,0,True,29,0.334,0.020115294117647058,0.000795397879584775,0.0,"[0.020115294117647058, 0.020115294117647058, 0.020115294117647058]"
v2thy-D03-s42,D03,D,kmeans,True,True,True,0.8,0.01670000000000001,0.031000000000000028,0,True,4,0.34,0.010172475385231883,0.0004965618824888035,0.0,"[0.010172475385231883, 0.010172475385231883, 0.010172475385231883]"
v2thy-D03-s7,D03,D,kmeans,True,True,True,0.8,0.014099999999999991,0.023999999999999966,0,True,54,0.337,0.015154183457051962,0.0006704026007542038,0.0,"[0.015154183457051962, 0.015154183457051962, 0.015154183457051962]"
v2thy-D04-s1,D04,D,kmeans,True,True,True,0.9,0.005899999999999993,0.018000000000000002,0,True,4,0.12,0.14200000000000002,0.019321000000000005,0.004388222222222224,"[0.14200000000000002, 0.002999999999999989, 0]"
