experiment_id,dataset,seed,method,n_groups,purity_threshold,variant,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-anti-gb-v1-adult-s1,adult,1,kmeans,338,0.95,R4_center_radius_count,0.96,0.9547692307692307,0.9544159544159544,-0.4957654826649132,0.338,0.019221037296039144,0.5525,0.7857815572545501,0.7692535,0.21150991785417222,-0.4923362490253417,0.015345287240628683,1.073713036466891,0.795,0.6978678311773869
privacy-anti-gb-v1-adult-s1,adult,1,kmeans_tuned,338,0.95,matched_full,0.974,0.9726290598290598,0.9705103077816493,-0.5410486991877249,0.338,0.019048603483517487,0.5595,0.792411949399917,0.800702,0.2784796576644794,-0.5039510920379899,0.015173359173814358,1.0622953405827915,0.78,0.6707690834211282
privacy-anti-gb-v1-adult-s1,adult,1,knn_local_prototypes,338,0.95,matched_full,0.95,0.9441960113960114,0.9424596872568922,-0.19153818443256165,0.338,0.02127611007126043,0.606,0.7452605678180579,0.7551730000000001,0.12089022689116229,-0.22730263202417858,0.016725137986992974,1.1306230769057075,0.811,0.7126677055224051
privacy-anti-gb-v1-adult-s1,adult,1,oracle_supervised,338,0.95,matched_full,0.966,0.9615521367521367,0.9613151044037065,-0.4143592082601982,0.338,0.02059274873339466,0.552,0.792839554702001,0.7992779999999999,,-0.4127963442162304,0.01652032763391854,1.1200319990700105,0.774,0.6884580603895101
privacy-anti-gb-v1-adult-s1,adult,1,random,338,0.95,matched_full,0.598,0.7310792022792023,0.5975347501711978,-0.0008845144045576709,0.338,0.14838843446287672,0.52,0.5361003540809808,0.54362,0.43814985233520204,0.22178304441482788,0.3124858499007281,5.345943509752914,0.744,0.43780251056316377
privacy-anti-gb-v1-adult-s1,adult,1,tree,130,0.95,matched_full,0.71,0.8116991452991453,0.7050147492625369,-0.27160772863547794,0.13,0.06907440547336276,0.5795,0.6277932379473239,0.598101,-0.25590244311335436,0.0480601947315954,0.07583626849603861,2.46208652283851,0.765,0.7022749990814867
privacy-anti-gb-v1-adult-s7,adult,7,granular_ball,160,0.8,R8_center_radius_count_purity,0.688,0.5680068376068377,0.5568584674120534,-0.1527894054216278,0.16,0.07391589114343601,0.5315,0.636705321856453,0.6380135,0.15620507918217064,-0.13067010431270762,0.057923591816868104,2.1350115900299254,0.821,0.7239149781522662
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical,160,0.8,matched_full,0.948,0.9443897435897436,0.9417312105565118,-0.0388560672870512,0.16,0.032373639136331255,0.547,0.6613155598312241,0.670185,0.08602106036108467,-0.2878238734539269,0.02543118151799582,1.49808666211213,0.801,0.7057253426673114
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical_average,160,0.8,matched_full,0.892,0.8899943019943021,0.8757129244748871,-0.6236391745427613,0.16,0.04143440891519984,0.5275,0.6662077301189951,0.6993785,0.24606260307328198,-0.6284652393177923,0.030469829293385972,1.6164758937891228,0.793,0.7166863526310532
privacy-anti-gb-v1-adult-s7,adult,7,hierarchical_complete,160,0.8,matched_full,0.928,0.9280091168091168,0.9187135057510194,-0.09638079593817499,0.16,0.036999722892288284,0.56,0.6627315500660355,0.6562844999999999,0.10648027772506395,-0.1649934039551082,0.027351336403778067,1.5604143050865864,0.799,0.7095270782904006
privacy-anti-gb-v1-adult-s7,adult,7,kmeans,160,0.8,R4_center_radius_count,0.932,0.932362393162393,0.9231117141564903,-0.6035583169856564,0.16,0.03448317494318431,0.5185,0.6884210527858026,0.6739809999999999,0.3122891746767913,-0.5190318178751029,0.0269708596480455,1.5218789100232033,0.8,0.6827089044573054
privacy-anti-gb-v1-adult-s7,adult,7,kmeans_tuned,160,0.8,matched_full,0.92,0.9145276353276354,0.9089767162440152,-0.645944235945019,0.16,0.03280318114994809,0.5195,0.6970894233499514,0.6918295,0.2839940792217066,-0.4747032686703257,0.026299721546438157,1.508912138300163,0.802,0.7036921750790155
