experiment_id,dataset,seed,method,variant,n_groups,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-leakage-v1-german_credit-s1,german_credit,1,kmeans,R2_center_count,233,0.966,0.967470780738663,0.9601908963605112,-0.9171629469804254,0.466,0.06307658508223293,0.905,0.9626031143813215,0.968888,0.5571828403648935,-0.9198443176526543,0.04488387201150244,1.3830875404882694,0.702,0.6344006870322659
privacy-leakage-v1-german_credit-s1,german_credit,1,kmeans,R3_center_radius,233,0.966,0.967470780738663,0.9601908963605112,-0.35642516172960864,0.466,0.06305894560523838,0.643,0.8489240179736628,0.838254,0.20608054029577866,-0.36285190999885064,0.04488787831809477,1.3831413395085983,0.68,0.5902562946876728
privacy-leakage-v1-german_credit-s1,german_credit,1,kmeans,R4_center_radius_count,233,0.966,0.967470780738663,0.9601908963605112,-0.06301818080059374,0.466,0.06305894560523838,0.658,0.8510856590140079,0.8569759999999998,0.023583638897065287,-0.07043339245108739,0.04488787831809477,1.3831413395085983,0.68,0.5902562946876728
privacy-leakage-v1-german_credit-s1,german_credit,1,random,matched_full,233,0.688,0.8002244039270687,0.6831277726319895,-0.16410290687687237,0.466,0.17914533361558901,0.726,0.8044415774924568,0.8024720000000001,0.03808165693321004,-0.4358183856502242,0.18185414922998497,3.2089164870994145,0.504,0.48959430979978924
privacy-leakage-v1-german_credit-s1,german_credit,1,raw,R0_raw_samples,500,1.0,1.0,1.0,,1.0,0.0,0.997,0.9967405859433739,0.998336,,,0.0,0.0,0.672,0.5967424659689984
privacy-leakage-v1-german_credit-s1,german_credit,1,tree,matched_full,85,0.678,0.7539410939691444,0.6625459545338312,-0.5329593966882402,0.17,0.20125491535511428,0.649,0.7243423858519082,0.689132,-0.34081097456366766,-0.5330857924565175,0.16968900680404675,3.083357547883596,0.702,0.609847552513472
privacy-leakage-v1-german_credit-s7,german_credit,7,granular_ball,R5_center,228,0.942,0.9584759233286582,0.9336903384536587,-0.8708583708389338,0.456,0.07629928978884282,0.864,0.9440264490430931,0.92824,0.2852195313208198,-0.8510277910516276,0.05762649138508259,1.5739522853419128,0.68,0.6501722901471025
privacy-leakage-v1-german_credit-s7,german_credit,7,granular_ball,R6_center_radius,228,0.942,0.9584759233286582,0.9336903384536587,-0.36689354193365964,0.456,0.08539022974633378,0.572,0.8793748365050729,0.866276,0.11158160099365354,-0.31416652277216095,0.06150605670228803,1.6268265144722875,0.722,0.5735542261082989
privacy-leakage-v1-german_credit-s7,german_credit,7,granular_ball,R7_center_radius_count,228,0.942,0.9584759233286582,0.9336903384536587,-0.36689354193365964,0.456,0.08539022974633378,0.572,0.8793748365050729,0.866276,0.11158160099365354,-0.31416652277216095,0.06150605670228803,1.6268265144722875,0.722,0.5735542261082989
privacy-leakage-v1-german_credit-s7,german_credit,7,granular_ball,R8_center_radius_count_purity,228,0.942,0.9584759233286582,0.9336903384536587,-0.36689354193365964,0.456,0.08539022974633378,0.572,0.8793748365050729,0.866276,0.11158160099365354,-0.31416652277216095,0.06150605670228803,1.6268265144722875,0.722,0.5735542261082989
privacy-leakage-v1-german_credit-s7,german_credit,7,hierarchical,matched_full,228,0.986,0.9937447405329594,0.9837793998377939,-0.5210893270548638,0.456,0.06036670478206636,0.602,0.9278310006036034,0.8995979999999999,0.30814507196337887,-0.4839528955588546,0.04144120530017133,1.4149609349923742,0.674,0.6155206981955419
privacy-leakage-v1-german_credit-s7,german_credit,7,kmeans,R1_center,228,0.956,0.9549883122954652,0.9489331674435015,-0.9281926928795043,0.456,0.0614152063827014,0.896,0.9697647494893666,0.9685720000000001,0.5966671532196651,-0.9303786360416281,0.04576748175157552,1.40218852073294,0.696,0.6069426343118393
privacy-leakage-v1-german_credit-s7,german_credit,7,kmeans,R2_center_count,228,0.956,0.9549883122954652,0.9489331674435015,-0.9232709076991094,0.456,0.0614152063827014,0.902,0.9717398265374771,0.9717600000000001,0.5964124410344168,-0.9277673394827486,0.04576748175157552,1.40218852073294,0.696,0.6069426343118393
privacy-leakage-v1-german_credit-s7,german_credit,7,kmeans,R3_center_radius,228,0.956,0.9549883122954652,0.9489331674435015,-0.5024211156951492,0.456,0.061533856995105156,0.59,0.8177829608319456,0.782244,0.3270594699036927,-0.4962811397857079,0.04586076968268089,1.4035613550578576,0.72,0.5838386720886543
privacy-leakage-v1-german_credit-s7,german_credit,7,kmeans,R4_center_radius_count,228,0.956,0.9549883122954652,0.9489331674435015,-0.5034364173732736,0.456,0.061533856995105156,0.59,0.8168818732170899,0.780492,0.3224485959889529,-0.49795373682455,0.04586076968268089,1.4035613550578576,0.72,0.5838386720886543
privacy-leakage-v1-german_credit-s7,german_credit,7,random,matched_full,228,0.696,0.7864609630668535,0.6871707060063224,-0.2807435106368076,0.456,0.18989283518104183,0.699,0.792140881227727,0.7721,-0.059144715068834175,-0.5463974110932567,0.1850309247103148,3.219964392804263,0.53,0.5219204557013528
privacy-leakage-v1-german_credit-s7,german_credit,7,raw,R0_raw_samples,500,1.0,1.0,1.0,,1.0,0.0,0.998,0.9968475066899405,0.998396,,,0.0,0.0,0.668,0.5827552231002795
privacy-leakage-v1-german_credit-s7,german_credit,7,tree,matched_full,97,0.642,0.7399812996727443,0.6267707538396741,-0.5562143490969826,0.194,0.17682654503782505,0.64,0.7403978325726186,0.702628,-0.3152625839848677,-0.5548732379549758,0.1575967986316262,2.9623299374412246,0.672,0.6080230979559839
privacy-leakage-v1-german_credit-s21,german_credit,21,granular_ball,R5_center,241,0.958,0.9584852734922862,0.9516661372957894,-0.8543636448290696,0.482,0.07507852689375487,0.857,0.9381375714356304,0.9186479999999999,0.3793687957745464,-0.8314756203312641,0.0575945827625175,1.5267223504262415,0.628,0.5912087912087912
privacy-leakage-v1-german_credit-s21,german_credit,21,granular_ball,R6_center_radius,241,0.958,0.9584852734922862,0.9516661372957894,-0.48403845424178715,0.482,0.08279428283942385,0.595,0.869494581797382,0.8665200000000001,0.25834878292056923,-0.46994826990283856,0.0616517036602223,1.5831927220812494,0.692,0.49559794570799703
privacy-leakage-v1-german_credit-s21,german_credit,21,granular_ball,R7_center_radius_count,241,0.958,0.9584852734922862,0.9516661372957894,-0.48403845424178715,0.482,0.08279428283942385,0.595,0.869494581797382,0.8665200000000001,0.25834878292056923,-0.46994826990283856,0.0616517036602223,1.5831927220812494,0.692,0.49559794570799703
privacy-leakage-v1-german_credit-s21,german_credit,21,granular_ball,R8_center_radius_count_purity,241,0.958,0.9584852734922862,0.9516661372957894,-0.48403845424178715,0.482,0.08279428283942385,0.595,0.869494581797382,0.8665200000000001,0.25834878292056923,-0.46994826990283856,0.0616517036602223,1.5831927220812494,0.692,0.49559794570799703
privacy-leakage-v1-german_credit-s21,german_credit,21,hierarchical,matched_full,241,0.994,0.9970733987844788,0.9930242616180922,-0.4975690895103619,0.482,0.05794097460366599,0.564,0.9100565087812941,0.8677860000000002,0.21826284516242764,-0.4549165215049193,0.03941105505027563,1.3704801167585547,0.632,0.5714072748956469
privacy-leakage-v1-german_credit-s21,german_credit,21,kmeans,R1_center,241,0.97,0.9776624590930342,0.9651213080904614,-0.9191259777783184,0.482,0.057716559483602436,0.899,0.9679943114232077,0.966504,0.5488180996031767,-0.9157746819600459,0.04363388276263566,1.3452177098541331,0.65,0.5856831020261279
