dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
sonar,UCI id=151 via ucimlrepo,1,0.7,release_3,matched_kmeans,random_forest,208,60,2,18,5.777777777777778,4.0,1,19,4,0.3333333333333333,0.6111111111111112,3.8918284640952683,4.891027927942064,0.8034159472755964,0.775,0.6666666666666666,1.0,0.78125,0.7641876287459844,0.125,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_1,granular_ball,logistic,208,60,2,38,2.736842105263158,2.0,1,14,16,0.7105263157894737,0.868421052631579,2.2029978191824053,2.105107039330205,0.913021189336979,1.0,1.0,1.0,0.8717640532544378,0.8758303226868516,0.3173076923076923,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_1,granular_ball,random_forest,208,60,2,38,2.736842105263158,2.0,1,14,16,0.7105263157894737,0.868421052631579,2.2029978191824053,2.105107039330205,0.913021189336979,1.0,1.0,1.0,0.8148113905325443,0.814294713043338,0.16346153846153846,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_1,matched_kmeans,logistic,208,60,2,38,2.736842105263158,1.5,1,15,19,0.6052631578947368,0.9473684210526315,1.967168975066101,1.2546808599341492,0.9092105263157894,1.0,0.8,1.0,0.8773113905325444,0.8711862410351575,0.2980769230769231,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_1,matched_kmeans,random_forest,208,60,2,38,2.736842105263158,1.5,1,15,19,0.6052631578947368,0.9473684210526315,1.967168975066101,1.2546808599341492,0.9092105263157894,1.0,0.8,1.0,0.8415310650887574,0.8245154756993109,0.20192307692307693,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_2,granular_ball,logistic,208,60,2,38,2.736842105263158,2.0,1,14,16,0.7105263157894737,0.868421052631579,2.2029978191824053,2.105107039330205,0.913021189336979,1.0,1.0,1.0,0.8911797337278106,0.8957596446677696,0.38461538461538464,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_2,granular_ball,random_forest,208,60,2,38,2.736842105263158,2.0,1,14,16,0.7105263157894737,0.868421052631579,2.2029978191824053,2.105107039330205,0.913021189336979,1.0,1.0,1.0,0.8717640532544378,0.8679076633038747,0.2403846153846154,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_2,matched_kmeans,logistic,208,60,2,38,2.736842105263158,1.5,1,15,19,0.6052631578947368,0.9473684210526315,1.967168975066101,1.2546808599341492,0.9092105263157894,1.0,0.8,1.0,0.8806397928994082,0.8759427906272232,0.2980769230769231,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_2,matched_kmeans,random_forest,208,60,2,38,2.736842105263158,1.5,1,15,19,0.6052631578947368,0.9473684210526315,1.967168975066101,1.2546808599341492,0.9092105263157894,1.0,0.8,1.0,0.851978550295858,0.84830718723594,0.3076923076923077,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_3,granular_ball,logistic,208,60,2,38,2.736842105263158,2.0,1,14,16,0.7105263157894737,0.868421052631579,2.2029978191824053,2.105107039330205,0.913021189336979,1.0,1.0,1.0,0.8747226331360947,0.8762643549449782,0.3557692307692308,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_3,granular_ball,random_forest,208,60,2,38,2.736842105263158,2.0,1,14,16,0.7105263157894737,0.868421052631579,2.2029978191824053,2.105107039330205,0.913021189336979,1.0,1.0,1.0,0.8747226331360947,0.8770994470569728,0.3173076923076923,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_3,matched_kmeans,logistic,208,60,2,38,2.736842105263158,1.5,1,15,19,0.6052631578947368,0.9473684210526315,1.967168975066101,1.2546808599341492,0.9092105263157894,1.0,0.8,1.0,0.8811020710059171,0.8702455044971564,0.3076923076923077,nan
sonar,UCI id=151 via ucimlrepo,1,0.8,release_3,matched_kmeans,random_forest,208,60,2,38,2.736842105263158,1.5,1,15,19,0.6052631578947368,0.9473684210526315,1.967168975066101,1.2546808599341492,0.9092105263157894,1.0,0.8,1.0,0.8509615384615385,0.8439495934897722,0.3173076923076923,nan
